archivo1,archivo2,algoritmo,n,tiempo_ms,memoria_kb
data/matrix_input/64_dispersa_D10_b_1.txt,data/matrix_input/64_dispersa_D10_b_2.txt,naive,64,0.132115,2076
data/matrix_input/64_dispersa_D10_b_1.txt,data/matrix_input/64_dispersa_D10_b_2.txt,strassen,64,33.0611,3552
data/matrix_input/64_dispersa_D10_c_1.txt,data/matrix_input/64_dispersa_D10_c_2.txt,naive,64,0.131507,2064
data/matrix_input/64_dispersa_D10_c_1.txt,data/matrix_input/64_dispersa_D10_c_2.txt,strassen,64,33.1751,3600
data/matrix_input/64_diagonal_D0_a_1.txt,data/matrix_input/64_diagonal_D0_a_2.txt,naive,64,0.238519,2076
data/matrix_input/64_diagonal_D0_a_1.txt,data/matrix_input/64_diagonal_D0_a_2.txt,strassen,64,30.0488,3536
data/matrix_input/64_diagonal_D0_b_1.txt,data/matrix_input/64_diagonal_D0_b_2.txt,naive,64,0.130623,2080
data/matrix_input/64_diagonal_D0_b_1.txt,data/matrix_input/64_diagonal_D0_b_2.txt,strassen,64,26.6718,3528
data/matrix_input/64_diagonal_D0_c_1.txt,data/matrix_input/64_diagonal_D0_c_2.txt,naive,64,0.126573,2076
data/matrix_input/64_diagonal_D0_c_1.txt,data/matrix_input/64_diagonal_D0_c_2.txt,strassen,64,27.4479,3600
data/matrix_input/64_diagonal_D10_a_1.txt,data/matrix_input/64_diagonal_D10_a_2.txt,naive,64,0.130818,2020
data/matrix_input/64_diagonal_D10_a_1.txt,data/matrix_input/64_diagonal_D10_a_2.txt,strassen,64,26.7625,3680
data/matrix_input/64_diagonal_D10_b_1.txt,data/matrix_input/64_diagonal_D10_b_2.txt,naive,64,0.13927,1992
data/matrix_input/64_diagonal_D10_b_1.txt,data/matrix_input/64_diagonal_D10_b_2.txt,strassen,64,27.0739,3624
data/matrix_input/64_diagonal_D10_c_1.txt,data/matrix_input/64_diagonal_D10_c_2.txt,naive,64,0.281881,2068
data/matrix_input/64_diagonal_D10_c_1.txt,data/matrix_input/64_diagonal_D10_c_2.txt,strassen,64,26.9785,3556
data/matrix_input/64_densa_D0_a_1.txt,data/matrix_input/64_densa_D0_a_2.txt,naive,64,0.122954,2016
data/matrix_input/64_densa_D0_a_1.txt,data/matrix_input/64_densa_D0_a_2.txt,strassen,64,27.818,3624
data/matrix_input/64_densa_D0_b_1.txt,data/matrix_input/64_densa_D0_b_2.txt,naive,64,0.122778,2020
data/matrix_input/64_densa_D0_b_1.txt,data/matrix_input/64_densa_D0_b_2.txt,strassen,64,29.0177,3624
data/matrix_input/64_densa_D0_c_1.txt,data/matrix_input/64_densa_D0_c_2.txt,naive,64,0.123259,2140
data/matrix_input/64_densa_D0_c_1.txt,data/matrix_input/64_densa_D0_c_2.txt,strassen,64,28.2889,3656
data/matrix_input/64_densa_D10_a_1.txt,data/matrix_input/64_densa_D10_a_2.txt,naive,64,0.12331,2072
data/matrix_input/64_densa_D10_a_1.txt,data/matrix_input/64_densa_D10_a_2.txt,strassen,64,29.2606,3628
data/matrix_input/64_densa_D10_b_1.txt,data/matrix_input/64_densa_D10_b_2.txt,naive,64,0.133202,2072
data/matrix_input/64_densa_D10_b_1.txt,data/matrix_input/64_densa_D10_b_2.txt,strassen,64,42.55,3600
data/matrix_input/64_densa_D10_c_1.txt,data/matrix_input/64_densa_D10_c_2.txt,naive,64,0.204762,2020
data/matrix_input/64_densa_D10_c_1.txt,data/matrix_input/64_densa_D10_c_2.txt,strassen,64,45.2571,3592
data/matrix_input/256_dispersa_D0_a_1.txt,data/matrix_input/256_dispersa_D0_a_2.txt,naive,256,7.29227,4156
data/matrix_input/256_dispersa_D0_a_1.txt,data/matrix_input/256_dispersa_D0_a_2.txt,strassen,256,1321.58,5400
data/matrix_input/256_dispersa_D0_b_1.txt,data/matrix_input/256_dispersa_D0_b_2.txt,naive,256,7.43758,4092
